LAMMPS Description

     9900  atoms
     2400  bonds
     300  angles
     0  dihedrals
     0  impropers

     7  atom types
     3  bond types
     1  angle types
     0  dihedral types
     0  improper types

  0 52.8 xlo xhi
  -1.76 51.04 ylo yhi
  -9 110 zlo zhi

Masses

1 15.9994  # O1
2 12  # C
3 15.9994  # O
4 1.008  # H
5 1.008  # H1
6 58.69  # U
7 58.69  # U1

Atoms  # full

124 62 5 0 1.741 20.8 8.0
125 63 5 0 1.0 20.8 11.0
126 63 5 0 1.741 20.8 11.0
127 64 5 0 1.0 20.8 14.0
128 64 5 0 1.741 20.8 14.0
129 65 5 0 1.0 20.8 17.0
130 65 5 0 1.741 20.8 17.0
131 66 5 0 1.0 20.8 20.0
132 66 5 0 1.741 20.8 20.0
133 67 5 0 1.0 20.8 23.0
134 67 5 0 1.741 20.8 23.0
135 68 5 0 1.0 20.8 26.0
136 68 5 0 1.741 20.8 26.0
137 69 5 0 1.0 20.8 29.0
138 69 5 0 1.741 20.8 29.0
139 70 5 0 1.0 20.8 32.0
140 70 5 0 1.741 20.8 32.0
141 71 5 0 1.0 20.8 35.0
142 71 5 0 1.741 20.8 35.0
143 72 5 0 1.0 20.8 38.0
144 72 5 0 1.741 20.8 38.0
145 73 5 0 1.0 20.8 41.0
146 73 5 0 1.741 20.8 41.0
147 74 5 0 1.0 20.8 44.0
148 74 5 0 1.741 20.8 44.0
149 75 5 0 1.0 20.8 47.0
150 75 5 0 1.741 20.8 47.0
151 76 5 0 1.0 26.0 5.0
152 76 5 0 1.741 26.0 5.0
153 77 5 0 1.0 26.0 8.0
154 77 5 0 1.741 26.0 8.0
155 78 5 0 1.0 26.0 11.0
156 78 5 0 1.741 26.0 11.0
157 79 5 0 1.0 26.0 14.0
158 79 5 0 1.741 26.0 14.0
159 80 5 0 1.0 26.0 17.0
160 80 5 0 1.741 26.0 17.0
161 81 5 0 1.0 26.0 20.0
162 81 5 0 1.741 26.0 20.0
163 82 5 0 1.0 26.0 23.0
164 82 5 0 1.741 26.0 23.0
165 83 5 0 1.0 26.0 26.0
166 83 5 0 1.741 26.0 26.0
167 84 5 0 1.0 26.0 29.0
168 84 5 0 1.741 26.0 29.0
169 85 5 0 1.0 26.0 32.0
170 85 5 0 1.741 26.0 32.0
171 86 5 0 1.0 26.0 35.0
172 86 5 0 1.741 26.0 35.0
173 87 5 0 1.0 26.0 38.0
174 87 5 0 1.741 26.0 38.0
175 88 5 0 1.0 26.0 41.0
176 88 5 0 1.741 26.0 41.0
177 89 5 0 1.0 26.0 44.0
178 89 5 0 1.741 26.0 44.0
179 90 5 0 1.0 26.0 47.0
180 90 5 0 1.741 26.0 47.0
181 91 5 0 1.0 31.2 5.0
182 91 5 0 1.741 31.2 5.0
183 92 5 0 1.0 31.2 8.0
184 92 5 0 1.741 31.2 8.0
185 93 5 0 1.0 31.2 11.0
186 93 5 0 1.741 31.2 11.0
187 94 5 0 1.0 31.2 14.0
188 94 5 0 1.741 31.2 14.0
189 95 5 0 1.0 31.2 17.0
190 95 5 0 1.741 31.2 17.0
191 96 5 0 1.0 31.2 20.0
192 96 5 0 1.741 31.2 20.0
193 97 5 0 1.0 31.2 23.0
194 97 5 0 1.741 31.2 23.0
195 98 5 0 1.0 31.2 26.0
196 98 5 0 1.741 31.2 26.0
197 99 5 0 1.0 31.2 29.0
198 99 5 0 1.741 31.2 29.0
199 100 5 0 1.0 31.2 32.0
200 100 5 0 1.741 31.2 32.0
201 101 5 0 1.0 31.2 35.0
202 101 5 0 1.741 31.2 35.0
203 102 5 0 1.0 31.2 38.0
204 102 5 0 1.741 31.2 38.0
205 103 5 0 1.0 31.2 41.0
206 103 5 0 1.741 31.2 41.0
207 104 5 0 1.0 31.2 44.0
208 104 5 0 1.741 31.2 44.0
209 105 5 0 1.0 31.2 47.0
210 105 5 0 1.741 31.2 47.0
211 106 5 0 1.0 36.4 5.0
212 106 5 0 1.741 36.4 5.0
213 107 5 0 1.0 36.4 8.0
214 107 5 0 1.741 36.4 8.0
215 108 5 0 1.0 36.4 11.0
216 108 5 0 1.741 36.4 11.0
217 109 5 0 1.0 36.4 14.0
218 109 5 0 1.741 36.4 14.0
219 110 5 0 1.0 36.4 17.0
220 110 5 0 1.741 36.4 17.0
221 111 5 0 1.0 36.4 20.0
222 111 5 0 1.741 36.4 20.0
223 112 5 0 1.0 36.4 23.0
